"URL","histogramsData/Fr/0","histogramsData/Fr/1","histogramsData/Fr/10","histogramsData/Fr/11","histogramsData/Fr/12","histogramsData/Fr/13","histogramsData/Fr/14","histogramsData/Fr/15","histogramsData/Fr/16","histogramsData/Fr/17","histogramsData/Fr/18","histogramsData/Fr/2","histogramsData/Fr/3","histogramsData/Fr/4","histogramsData/Fr/5","histogramsData/Fr/6","histogramsData/Fr/7","histogramsData/Fr/8","histogramsData/Fr/9","histogramsData/Mo/0","histogramsData/Mo/1","histogramsData/Mo/10","histogramsData/Mo/11","histogramsData/Mo/12","histogramsData/Mo/13","histogramsData/Mo/14","histogramsData/Mo/15","histogramsData/Mo/16","histogramsData/Mo/17","histogramsData/Mo/18","histogramsData/Mo/19","histogramsData/Mo/2","histogramsData/Mo/3","histogramsData/Mo/4","histogramsData/Mo/5","histogramsData/Mo/6","histogramsData/Mo/7","histogramsData/Mo/8","histogramsData/Mo/9","histogramsData/Sa/0","histogramsData/Sa/1","histogramsData/Sa/10","histogramsData/Sa/11","histogramsData/Sa/12","histogramsData/Sa/13","histogramsData/Sa/14","histogramsData/Sa/15","histogramsData/Sa/16","histogramsData/Sa/17","histogramsData/Sa/2","histogramsData/Sa/3","histogramsData/Sa/4","histogramsData/Sa/5","histogramsData/Sa/6","histogramsData/Sa/7","histogramsData/Sa/8","histogramsData/Sa/9","histogramsData/Su/0","histogramsData/Su/1","histogramsData/Su/10","histogramsData/Su/11","histogramsData/Su/12","histogramsData/Su/13","histogramsData/Su/14","histogramsData/Su/15","histogramsData/Su/16","histogramsData/Su/17","histogramsData/Su/2","histogramsData/Su/3","histogramsData/Su/4","histogramsData/Su/5","histogramsData/Su/6","histogramsData/Su/7","histogramsData/Su/8","histogramsData/Su/9","histogramsData/Th/0","histogramsData/Th/1","histogramsData/Th/10","histogramsData/Th/11","histogramsData/Th/12","histogramsData/Th/13","histogramsData/Th/14","histogramsData/Th/15","histogramsData/Th/16","histogramsData/Th/17","histogramsData/Th/18","histogramsData/Th/19","histogramsData/Th/2","histogramsData/Th/3","histogramsData/Th/4","histogramsData/Th/5","histogramsData/Th/6","histogramsData/Th/7","histogramsData/Th/8","histogramsData/Th/9","histogramsData/Tu/0","histogramsData/Tu/1","histogramsData/Tu/10","histogramsData/Tu/11","histogramsData/Tu/12","histogramsData/Tu/13","histogramsData/Tu/14","histogramsData/Tu/15","histogramsData/Tu/16","histogramsData/Tu/17","histogramsData/Tu/18","histogramsData/Tu/19","histogramsData/Tu/2","histogramsData/Tu/3","histogramsData/Tu/4","histogramsData/Tu/5","histogramsData/Tu/6","histogramsData/Tu/7","histogramsData/Tu/8","histogramsData/Tu/9","histogramsData/We/0","histogramsData/We/1","histogramsData/We/10","histogramsData/We/11","histogramsData/We/12","histogramsData/We/13","histogramsData/We/14","histogramsData/We/15","histogramsData/We/16","histogramsData/We/17","histogramsData/We/18","histogramsData/We/19","histogramsData/We/2","histogramsData/We/3","histogramsData/We/4","histogramsData/We/5","histogramsData/We/6","histogramsData/We/7","histogramsData/We/8","histogramsData/We/9","placeName"
"https://www.google.com/search?q=nysc+115th+and+5th","0","8","23","26","34","41","44","41","33","23",,"23","34","30","26","30","35","32","26","0","5","24","33","48","64","75","73","61","43","26",,"9","13","19","23","25","25","23","21","0","10","29","29","23","0","0","0","0","0","21","36","50","53","47","35","28","26","0","3","26","32","26","0","0","0","0","0","9","21","37","48","48","36","23","19","0","8","26","34","44","50","52","50","50","52","34",,"12","17","22","26","26","25","23","23","0","11","17","21","40","65","74","59","45","38","26",,"15","20","26","29","30","29","25","20","0","7","27","41","59","71","74","70","63","50","32",,"13","21","28","32","31","26","21","20","New York Sports Clubs"
"https://www.google.com/search?q=nysc+125th+street+harlem","0","8","30","26","24","30","40","43","32","16",,"20","24","20","18","23","28","32","32","0","9","21","22","30","49","70","75","55","27","9",,"16","20","18","15","15","18","20","21","0","8","32","36","38","27","13","0","0","0","21","39","50","50","46","42","38","32","0","5","23","33","24","0","0","0","0","0","11","20","26","29","26","25","26","24","0","4","26","32","38","44","46","41","33","23","14",,"7","11","16","20","23","23","23","23","0","8","24","25","32","49","66","71","57","35","15",,"14","18","18","17","17","20","23","25","0","9","24","24","31","47","64","65","47","24","8",,"22","26","17","10","11","17","22","24","New York Sports Clubs"
"https://www.google.com/search?q=nysc+145th+frederick+douglass+blvd.","0","5","32","32","38","45","47","43","32","19",,"17","29","32","30","33","38","38","35","0","3","21","22","34","53","69","72","59","38","19",,"8","15","23","32","38","39","33","26","0","14","27","29","27","22","14","0","0","0","26","30","40","46","44","38","30","26","0","8","23","26","23","0","0","0","0","0","17","26","35","39","35","26","20","18","0","8","23","24","33","47","60","63","53","36","20",,"21","29","26","25","29","32","30","26","0","13","28","26","33","49","67","75","66","45","24",,"19","25","32","37","40","40","37","32","0","12","34","26","24","35","59","74","63","35","13",,"29","44","47","38","34","36","40","39","New York Sports Clubs"
"https://www.google.com/search?q=nysc+14th+5th","0","2","32","33","38","50","56","47","28","11",,"3","6","10","15","21","26","30","32","0","2","16","23","39","60","75","69","48","24","9",,"3","5","9","11","14","15","15","15","0","0","32","28","27","30","20","0","0","0","2","8","18","33","43","43","37","32","0","0","21","21","20","18","14","0","0","0","2","9","20","32","34","27","21","20","0","2","23","24","35","55","71","66","41","17","5",,"3","5","9","12","17","20","22","23","0","5","32","25","34","50","59","54","38","20","8",,"10","15","16","12","9","12","27","38","0","1","30","27","32","50","69","71","50","24","8",,"2","5","11","17","25","31","35","34","New York Sports Clubs"
"https://www.google.com/search?q=nysc+128+8th+Avenue","0","8","30","38","47","55","54","41","26","0",,"17","26","26","20","17","17","20","25","0","19","24","42","60","69","64","47","28","13",,,"27","27","24","22","20","17","13","14","0","0","23","28","33","33","27","0","0","0","15","31","47","56","56","47","33","23","0","0","28","30","31","27","20","0","0","0","10","17","26","31","32","30","27","26","0","14","29","39","50","56","52","41","28","15",,,"25","29","26","23","25","28","27","25","0","11","27","38","55","70","71","56","34","17",,,"15","20","23","27","28","27","25","23","0","17","23","38","59","74","75","61","41","22",,,"23","27","26","23","25","33","32","22","New York Sports Clubs"
"https://www.google.com/search?q=nysc+217+broadway","0","2","23","20","27","42","49","36","16","0",,"13","32","43","32","20","19","24","27","0","5","28","23","31","46","60","60","48","29",,,"21","38","36","21","15","26","37","38","0","0","16","11","0","0","0","0","0","0","8","15","23","29","30","26","17","14","0","0","0","0","0","0","0","0","0","0","5","11","20","27","29","28","20","0","0","4","32","20","30","59","73","55","24","7",,,"27","56","40","13","11","29","47","47","0","3","28","22","29","50","72","75","54","28",,,"16","44","65","53","34","30","35","35","0","2","44","43","47","54","59","53","35","17",,,"14","42","65","56","36","33","39","43","New York Sports Clubs"
"https://www.google.com/search?q=nysc+270+8th+Ave","0","5","16","17","26","41","56","59","50","32",,"8","12","17","20","22","23","21","17","0","3","21","20","26","41","62","75","70","51","29",,"9","17","19","17","19","22","24","24","0","0","26","27","33","29","19","0","0","0","2","10","23","26","25","33","36","32","0","0","30","25","17","22","15","0","0","0","3","11","20","29","29","24","21","26","0","6","15","23","35","49","57","59","50","30","12",,"10","13","17","20","20","20","17","14","0","10","23","25","35","53","69","74","62","41","22",,"20","24","19","16","20","26","29","26","0","3","14","20","34","53","66","65","50","30","14",,"6","11","16","20","23","22","20","16","New York Sports Clubs"
"https://www.google.com/search?q=nysc+113+e+23rd","0","8","25","21","29","44","56","56","43","25",,"20","25","16","10","16","28","35","34","0","16","26","24","30","47","69","72","54","31","19",,"18","21","24","30","32","34","32","30","0","0","30","26","28","35","24","0","0","0","9","27","50","62","53","35","26","28","0","0","26","32","34","27","17","0","0","0","5","15","27","35","35","28","20","20","0","8","20","20","32","56","74","73","53","29","11",,"31","50","35","15","15","26","32","29","0","25","23","20","27","44","62","68","54","32","14",,"38","45","45","40","35","34","32","29","0","11","36","29","32","46","65","75","69","50","28",,"19","23","20","17","20","31","41","44","New York Sports Clubs"
"https://www.google.com/search?q=nysc+34th+park","0","9","32","32","32","32","32","28","17","0",,"15","23","29","35","38","37","35","33","0","12","21","39","63","75","65","40","18","5",,,"29","36","30","28","37","41","30","18","0","0","26","17","0","0","0","0","0","0","17","29","38","37","29","23","25","29","0","0","48","60","0","0","0","0","0","0","2","7","17","30","36","30","19","22","0","16","38","45","57","64","62","53","38","24",,,"31","37","30","25","38","58","59","44","0","14","23","32","49","62","61","45","24","10",,,"25","33","36","38","39","38","33","26","0","16","31","36","54","71","72","52","26","9",,,"39","40","26","28","37","43","42","36","New York Sports Clubs"
"https://www.google.com/search?q=nysc+36th+madison","0","8","44","45","49","50","44","34","22","0",,"13","20","26","34","41","47","48","45","0","9","45","47","53","60","63","54","39","21",,,"12","18","24","30","36","40","43","44","0","0","27","31","22","10","0","0","0","0","5","12","27","47","59","55","38","26","0","0","35","33","26","17","0","0","0","0","6","14","26","35","34","27","26","31","0","8","41","40","43","50","54","50","38","24",,,"11","14","20","29","38","44","48","46","0","11","41","41","55","69","71","59","38","20",,,"17","23","26","26","25","29","41","47","0","11","38","38","46","63","75","67","43","21",,,"17","26","33","38","41","41","41","38","New York Sports Clubs - NYSC"
