"URL","histogramsData/Fr/0","histogramsData/Fr/1","histogramsData/Fr/10","histogramsData/Fr/11","histogramsData/Fr/12","histogramsData/Fr/13","histogramsData/Fr/14","histogramsData/Fr/15","histogramsData/Fr/16","histogramsData/Fr/17","histogramsData/Fr/18","histogramsData/Fr/2","histogramsData/Fr/3","histogramsData/Fr/4","histogramsData/Fr/5","histogramsData/Fr/6","histogramsData/Fr/7","histogramsData/Fr/8","histogramsData/Fr/9","histogramsData/Mo/0","histogramsData/Mo/1","histogramsData/Mo/10","histogramsData/Mo/11","histogramsData/Mo/12","histogramsData/Mo/13","histogramsData/Mo/14","histogramsData/Mo/15","histogramsData/Mo/16","histogramsData/Mo/17","histogramsData/Mo/18","histogramsData/Mo/19","histogramsData/Mo/2","histogramsData/Mo/3","histogramsData/Mo/4","histogramsData/Mo/5","histogramsData/Mo/6","histogramsData/Mo/7","histogramsData/Mo/8","histogramsData/Mo/9","histogramsData/Sa/0","histogramsData/Sa/1","histogramsData/Sa/10","histogramsData/Sa/11","histogramsData/Sa/12","histogramsData/Sa/13","histogramsData/Sa/14","histogramsData/Sa/15","histogramsData/Sa/16","histogramsData/Sa/17","histogramsData/Sa/2","histogramsData/Sa/3","histogramsData/Sa/4","histogramsData/Sa/5","histogramsData/Sa/6","histogramsData/Sa/7","histogramsData/Sa/8","histogramsData/Sa/9","histogramsData/Su/0","histogramsData/Su/1","histogramsData/Su/10","histogramsData/Su/11","histogramsData/Su/12","histogramsData/Su/13","histogramsData/Su/14","histogramsData/Su/15","histogramsData/Su/16","histogramsData/Su/17","histogramsData/Su/2","histogramsData/Su/3","histogramsData/Su/4","histogramsData/Su/5","histogramsData/Su/6","histogramsData/Su/7","histogramsData/Su/8","histogramsData/Su/9","histogramsData/Th/0","histogramsData/Th/1","histogramsData/Th/10","histogramsData/Th/11","histogramsData/Th/12","histogramsData/Th/13","histogramsData/Th/14","histogramsData/Th/15","histogramsData/Th/16","histogramsData/Th/17","histogramsData/Th/18","histogramsData/Th/19","histogramsData/Th/2","histogramsData/Th/3","histogramsData/Th/4","histogramsData/Th/5","histogramsData/Th/6","histogramsData/Th/7","histogramsData/Th/8","histogramsData/Th/9","histogramsData/Tu/0","histogramsData/Tu/1","histogramsData/Tu/10","histogramsData/Tu/11","histogramsData/Tu/12","histogramsData/Tu/13","histogramsData/Tu/14","histogramsData/Tu/15","histogramsData/Tu/16","histogramsData/Tu/17","histogramsData/Tu/18","histogramsData/Tu/19","histogramsData/Tu/2","histogramsData/Tu/3","histogramsData/Tu/4","histogramsData/Tu/5","histogramsData/Tu/6","histogramsData/Tu/7","histogramsData/Tu/8","histogramsData/Tu/9","histogramsData/We/0","histogramsData/We/1","histogramsData/We/10","histogramsData/We/11","histogramsData/We/12","histogramsData/We/13","histogramsData/We/14","histogramsData/We/15","histogramsData/We/16","histogramsData/We/17","histogramsData/We/18","histogramsData/We/19","histogramsData/We/2","histogramsData/We/3","histogramsData/We/4","histogramsData/We/5","histogramsData/We/6","histogramsData/We/7","histogramsData/We/8","histogramsData/We/9","placeName"
"https://www.google.ca/search?q=nysc+115th+and+5th&gws_rd=cr&ei=Q9sEWOO-HYfQjwSHvIv4DQ","0","5","20","26","37","46","47","40","27","15",,"12","20","25","29","32","32","28","22","0","6","18","26","42","58","69","69","57","39","22",,"10","14","18","19","19","18","15","14","0","10","32","26","17","0","0","0","0","0","20","32","43","45","40","32","29","31","0","5","23","29","23","0","0","0","0","0","11","21","31","38","38","29","20","16","0","6","20","26","36","46","52","52","44","33","21",,"11","15","20","23","24","23","20","19","0","8","11","14","30","56","75","67","50","41","28",,"12","16","20","23","23","21","18","14","0","12","15","25","44","65","73","62","46","34","25",,"17","22","26","27","26","23","19","14","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+125th+street+harlem&gws_rd=cr&ei=TNsEWPvuOqWfjwTy85HYBQ","0","9","29","24","26","35","43","43","32","17",,"17","20","18","19","25","31","35","33","0","10","21","23","30","47","66","75","63","41","19",,"16","16","12","11","13","17","19","21","0","8","29","29","28","20","11","0","0","0","25","40","39","38","45","50","43","33","0","5","25","24","15","0","0","0","0","0","13","21","27","27","24","23","24","25","0","5","29","35","44","50","50","44","33","22","12",,"11","13","14","17","21","23","24","25","0","11","27","28","34","49","65","69","56","35","16",,"20","23","19","14","14","19","24","27","0","5","28","29","35","47","59","60","47","29","13",,"13","20","22","18","15","17","22","26","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+145th+frederick+douglass+blvd.&gws_rd=cr&ei=VNsEWN_QLczXjwS4h6SIDw","0","12","35","32","34","40","46","44","35","23",,"22","29","32","34","37","41","41","38","0","5","34","35","41","51","60","60","48","33","18",,"14","27","39","42","39","33","32","34","0","8","43","32","19","26","24","0","0","0","17","32","47","54","50","40","35","40","0","8","32","37","26","0","0","0","0","0","15","24","32","38","38","35","28","26","0","8","29","26","31","42","54","59","55","41","26",,"19","30","34","32","32","35","36","33","0","14","29","28","35","50","68","75","65","45","24",,"22","29","37","43","46","45","41","35","0","15","39","32","30","38","53","65","63","47","26",,"33","44","39","32","33","40","45","44","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+14th+5th&gws_rd=cr&ei=XNsEWKaSJ6K2jwSD6biYBA","0","1","36","26","30","45","55","44","23","8",,"2","9","17","20","17","14","23","37","0","2","17","22","36","56","69","63","42","20","6",,"4","6","9","12","14","15","17","17","0","0","38","30","23","17","11","0","0","0","2","6","16","29","37","36","34","37","0","0","19","23","26","22","14","0","0","0","3","8","16","23","29","27","23","18","0","1","21","22","30","49","68","64","39","15","4",,"2","4","7","11","15","19","22","22","0","5","15","13","27","54","75","70","44","19","5",,"8","12","13","10","8","13","21","22","0","2","24","24","31","48","65","66","47","23","8",,"3","5","9","14","20","23","26","26","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+128+8th+Avenue&gws_rd=cr&ei=Y9sEWMKmMILTjwTvyLn4Dw","0","9","27","30","36","42","44","37","25","0",,"20","29","24","16","14","17","20","23","0","19","21","38","56","64","59","42","24","10",,,"22","18","12","9","13","20","15","12","0","0","23","29","34","33","25","0","0","0","14","24","35","44","47","42","32","23","0","0","25","29","28","23","17","0","0","0","7","18","32","42","41","32","24","21","0","11","20","28","37","43","44","40","32","21",,,"18","19","14","11","20","32","30","21","0","12","21","30","43","51","51","43","29","17",,,"17","19","19","18","23","29","28","21","0","9","23","41","61","75","75","60","40","21",,,"14","18","18","17","19","23","20","16","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+217+broadway&gws_rd=cr&ei=a9sEWKaLCqymjwTM6J6wDA","0","4","24","24","32","46","46","31","13","0",,"16","33","42","32","19","18","23","26","0","7","23","18","24","45","70","75","51","21",,,"13","21","27","35","39","40","37","31","0","0","21","11","0","0","0","0","0","0","5","14","26","37","38","28","16","11","0","0","0","0","0","0","0","0","0","0","4","11","20","29","32","29","20","0","0","3","30","27","34","49","59","56","39","22",,,"13","32","44","38","30","32","37","35","0","16","32","27","39","61","71","62","38","18",,,"30","41","44","37","32","38","47","46","0","11","50","44","43","50","57","52","34","17",,,"34","60","60","38","26","32","44","51","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+270+8th+Ave&gws_rd=cr&ei=cdsEWI7JLsnMjwTu7bBg","0","3","13","18","31","47","55","50","34","17",,"5","9","12","16","17","17","15","14","0","3","15","17","24","41","59","67","57","36","18",,"6","9","12","16","18","20","19","18","0","0","19","21","23","18","11","0","0","0","4","13","23","30","32","32","29","23","0","0","20","20","18","25","21","0","0","0","2","5","12","20","25","23","20","18","0","4","13","18","29","42","52","53","44","31","17",,"7","11","14","17","18","17","14","12","0","8","17","17","28","52","75","75","50","23","7",,"17","23","21","18","17","20","21","20","0","5","15","19","28","41","50","50","40","26","13",,"8","11","15","18","20","20","18","16","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+113+e+23rd&gws_rd=cr&ei=edsEWNeoG8LWjwSGkIngCg","0","3","23","23","32","43","50","47","34","20",,"20","40","29","18","20","25","27","24","0","15","25","24","33","51","60","50","33","24","23",,"18","23","28","34","37","38","36","30","0","0","34","29","21","27","28","0","0","0","8","23","46","59","52","35","26","30","0","0","26","17","24","38","26","0","0","0","5","14","26","34","32","26","27","30","0","8","20","21","34","54","70","69","52","29","12",,"20","33","38","32","26","25","26","24","0","20","21","18","23","38","59","70","59","35","15",,"26","33","38","42","42","40","34","28","0","11","29","19","21","38","60","75","70","50","27",,"27","38","32","19","16","28","40","41","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+34th+park&gws_rd=cr&ei=gNsEWNncMaGPjwTX3aOwCQ","0","9","29","32","37","38","33","24","14","0",,"15","23","29","34","35","34","31","28","0","10","33","48","66","75","66","45","23","9",,,"29","40","30","21","22","27","27","27","0","0","20","14","0","0","0","0","0","0","12","25","35","38","34","29","27","26","0","0","48","65","0","0","0","0","0","0","4","14","30","40","34","18","8","16","0","22","35","41","53","62","62","53","38","23",,,"29","29","24","24","37","51","53","42","0","11","29","38","51","59","55","38","21","8",,,"20","28","37","42","44","40","34","29","0","13","33","35","47","59","59","46","26","11",,,"43","48","29","32","44","51","49","40","New York Sports Clubs"
"https://www.google.ca/search?q=nysc+36th+madison&gws_rd=cr&ei=h9sEWIPvKsGZjwSU17XAAg","0","7","43","50","60","62","55","40","24","0",,"14","21","26","30","32","44","56","50","0","9","48","53","59","60","58","48","36","22",,,"14","19","27","33","39","43","45","47","0","0","22","35","42","26","0","0","0","0","5","14","26","41","51","49","36","23","0","0","39","38","28","17","0","0","0","0","6","15","28","35","32","26","26","34","0","8","41","40","45","57","64","59","42","24",,,"11","17","24","34","42","47","48","45","0","13","32","32","47","67","75","65","45","24",,,"20","26","30","30","28","32","43","43","0","11","42","42","48","60","68","65","47","26",,,"17","23","29","35","40","44","44","44","New York Sports Clubs - NYSC"
